partner_id,partner_name,city,vehicle_type,experience_years
P_106,Rahul Verma,Pune,Cycle,0
P_107,Neha Singh,Pune,Scooter,0
P_108,Pooja Mehta,Pune,Cycle,0
P_109,Rohit Kumar,Mumbai,Bike,4
P_110,Sanjay Patel,Bangalore,Bike,2
P_111,Ankit Jain,Hyderabad,Cycle,2
P_112,Kunal Shah,Bangalore,Scooter,0
P_113,Amit Sharma,Bangalore,Cycle,4
P_114,Rahul Verma,Mumbai,Bike,2
P_115,Neha Singh,Bangalore,Cycle,5
P_116,Pooja Mehta,Delhi,Cycle,2
P_117,Rohit Kumar,Pune,Bike,2
P_118,Sanjay Patel,Delhi,Cycle,4
P_119,Ankit Jain,Hyderabad,Cycle,5
P_120,Kunal Shah,Pune,Scooter,4
P_121,Amit Sharma,Bangalore,Scooter,0
P_122,Rahul Verma,Hyderabad,Bike,3
P_123,Neha Singh,Pune,Bike,2
P_124,Pooja Mehta,Bangalore,Bike,3
P_125,Rohit Kumar,Delhi,Scooter,4
P_126,Sanjay Patel,Pune,Bike,4
P_127,Ankit Jain,Bangalore,Bike,4
P_128,Kunal Shah,Delhi,Bike,3
P_129,Amit Sharma,Hyderabad,Scooter,4
P_130,Rahul Verma,Hyderabad,Cycle,0
P_131,Neha Singh,Hyderabad,Bike,4
P_132,Pooja Mehta,Hyderabad,Cycle,1
P_133,Rohit Kumar,Mumbai,Bike,3
P_134,Sanjay Patel,Pune,Cycle,1
P_135,Ankit Jain,Pune,Scooter,4
P_136,Kunal Shah,Mumbai,Scooter,0
P_137,Amit Sharma,Bangalore,Bike,2
P_138,Rahul Verma,Bangalore,Cycle,5
P_139,Neha Singh,Hyderabad,Scooter,5
P_140,Pooja Mehta,Delhi,Bike,4
P_141,Rohit Kumar,Bangalore,Bike,0
P_142,Sanjay Patel,Delhi,Scooter,3
P_143,Ankit Jain,Pune,Scooter,1
P_144,Kunal Shah,Delhi,Bike,1
P_145,Amit Sharma,Pune,Cycle,1
P_146,Rahul Verma,Mumbai,Cycle,3
P_147,Neha Singh,Mumbai,Cycle,5
P_148,Pooja Mehta,Hyderabad,Bike,0
P_149,Rohit Kumar,Bangalore,Scooter,3
P_150,Sanjay Patel,Hyderabad,Bike,1
